symbol,isin,source
POLYCAB,INE455K01017,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
POWERGRID,INE752E01010,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
POWERINDIA,INE07Y701011,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
PREMIERENE,INE0BS701011,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
PRESTIGE,INE811K01011,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
RADICO,INE944F01028,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
RBLBANK,INE976G01028,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
RECLTD,INE020B01018,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
RELIANCE,INE002A01018,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
RVNL,INE415G01027,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
SAIL,INE114A01011,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
SBICARD,INE018E01016,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
SBILIFE,INE123W01016,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
SBIN,INE062A01020,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
SHREECEM,INE070A01015,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
SHRIRAMFIN,INE721A01047,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
SIEMENS,INE003A01024,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
SOLARINDS,INE343H01029,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
SONACOMS,INE073K01018,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
SRF,INE647A01010,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
SUNPHARMA,INE044A01036,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
SUPREMEIND,INE195A01028,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
SUZLON,INE040H01021,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
