symbol,isin,active,mainboard,series,instrument_type,surveillance,trade_to_trade,suspended,reference_as_of,source
TATACONSUM,INE192A01025,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/TATACONSUM_CONSOLIDATED_20260813.html
TATAPOWER,INE245A01021,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/TATAPOWER_CONSOLIDATED_20260813.html
TATASTEEL,INE081A01020,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/TATASTEEL_CONSOLIDATED_20260813.html
TCS,INE467B01029,True,True,EQ,EQUITY,,False,False,2026-08-11,data/fundamentals/raw_html/TCS_CONSOLIDATED_20260811.html
TECHM,INE669C01036,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/TECHM_CONSOLIDATED_20260813.html
TITAN,INE280A01028,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/TITAN_CONSOLIDATED_20260813.html
TORNTPHARM,INE685A01028,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/TORNTPHARM_CONSOLIDATED_20260813.html
TRENT,INE849A01020,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/TRENT_CONSOLIDATED_20260813.html
TVSMOTOR,INE494B01023,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/TVSMOTOR_CONSOLIDATED_20260813.html
ULTRACEMCO,INE481G01011,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/ULTRACEMCO_CONSOLIDATED_20260813.html
UNIONBANK,INE692A01016,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/UNIONBANK_CONSOLIDATED_20260813.html
UPL,INE628A01036,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/UPL_CONSOLIDATED_20260813.html
VBL,INE200M01039,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/VBL_CONSOLIDATED_20260813.html
VEDL,INE205A01025,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/VEDL_CONSOLIDATED_20260813.html
WIPRO,INE075A01022,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/WIPRO_CONSOLIDATED_20260813.html
ZYDUSLIFE,INE010B01027,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/ZYDUSLIFE_CONSOLIDATED_20260813.html
