symbol,isin,active,mainboard,series,instrument_type,surveillance,trade_to_trade,suspended,reference_as_of,source
AEQUS,INE947N01017,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
AEROENTER,INE065D01027,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
AEROFLEX,INE024001021,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
AERONEU,INE035801013,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
AEROPLANE,INE05TO01019,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
AETHER,INE0BWX01014,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
AFCONS,INE101I01011,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
AFFLE,INE00WC01027,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
AFIL,INE916Y01027,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
AFSL,INE00ZE01026,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
AGARIND,INE204E01012,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
AGARWALEYE,INE943P01029,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
AGI,INE415A01038,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
AGIIL,INE976R01033,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
AGL,INE1YPB01014,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
AGRITECH,INE449G01018,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
AGROPHOS,INE740V01019,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
AHCL,INE0Y8W01025,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
AHLADA,INE00PV01013,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
AHLEAST,INE926K01017,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
AHLUCONT,INE758C01029,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
AIAENG,INE212H01026,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
AIIL,INE206F01022,True,True,EQ,EQUITY,,False,False,2026-08-21,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv
