Ticker,Company,Sector,MarketCapCategory,Group
AADHARHFC.NS,Aadhar Housing Finance Ltd.,Financial Services,SmallCap,NiftySmallcap250
AARTIIND.NS,Aarti Industries Ltd.,Chemicals,SmallCap,NiftySmallcap250
AAVAS.NS,Aavas Financiers Ltd.,Financial Services,SmallCap,NiftySmallcap250
ACE.NS,Action Construction Equipment Ltd.,Capital Goods,SmallCap,NiftySmallcap250
ACUTAAS.NS,Acutaas Chemicals Ltd.,Healthcare,SmallCap,NiftySmallcap250
ABFRL.NS,Aditya Birla Fashion and Retail Ltd.,Consumer Services,SmallCap,NiftySmallcap250
ABLBL.NS,Aditya Birla Lifestyle Brands Ltd.,Consumer Services,SmallCap,NiftySmallcap250
ABREL.NS,Aditya Birla Real Estate Ltd.,Realty,SmallCap,NiftySmallcap250
ABSLAMC.NS,Aditya Birla Sun Life AMC Ltd.,Financial Services,SmallCap,NiftySmallcap250
CPPLUS.NS,Aditya Infotech Ltd.,Capital Goods,SmallCap,NiftySmallcap250
AEGISLOG.NS,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,SmallCap,NiftySmallcap250
AEGISVOPAK.NS,Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels,SmallCap,NiftySmallcap250
AFCONS.NS,Afcons Infrastructure Ltd.,Construction,SmallCap,NiftySmallcap250
AFFLE.NS,Affle 3i Ltd.,Information Technology,SmallCap,NiftySmallcap250
ABDL.NS,Allied Blenders and Distillers Ltd.,Fast Moving Consumer Goods,SmallCap,NiftySmallcap250
ARE&M.NS,Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,SmallCap,NiftySmallcap250
AMBER.NS,Amber Enterprises India Ltd.,Consumer Durables,SmallCap,NiftySmallcap250
ANANDRATHI.NS,Anand Rathi Wealth Ltd.,Financial Services,SmallCap,NiftySmallcap250
ANANTRAJ.NS,Anant Raj Ltd.,Realty,SmallCap,NiftySmallcap250
ANGELONE.NS,Angel One Ltd.,Financial Services,SmallCap,NiftySmallcap250
ANURAS.NS,Anupam Rasayan India Ltd.,Chemicals,SmallCap,NiftySmallcap250
APTUS.NS,Aptus Value Housing Finance India Ltd.,Financial Services,SmallCap,NiftySmallcap250
ASAHIINDIA.NS,Asahi India Glass Ltd.,Automobile and Auto Components,SmallCap,NiftySmallcap250
ASTERDM.NS,Aster DM Quality Care Ltd.,Healthcare,SmallCap,NiftySmallcap250
ATHERENERG.NS,Ather Energy Ltd.,Automobile and Auto Components,SmallCap,NiftySmallcap250
ATUL.NS,Atul Ltd.,Chemicals,SmallCap,NiftySmallcap250
BEML.NS,BEML Ltd.,Capital Goods,SmallCap,NiftySmallcap250
BLS.NS,BLS International Services Ltd.,Consumer Services,SmallCap,NiftySmallcap250
BALRAMCHIN.NS,Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,SmallCap,NiftySmallcap250
BATAINDIA.NS,Bata India Ltd.,Consumer Durables,SmallCap,NiftySmallcap250
BAYERCROP.NS,Bayer Cropscience Ltd.,Chemicals,SmallCap,NiftySmallcap250
BELRISE.NS,Belrise Industries Ltd.,Automobile and Auto Components,SmallCap,NiftySmallcap250
BIKAJI.NS,Bikaji Foods International Ltd.,Fast Moving Consumer Goods,SmallCap,NiftySmallcap250
BSOFT.NS,Birlasoft Ltd.,Information Technology,SmallCap,NiftySmallcap250
BLUEDART.NS,Blue Dart Express Ltd.,Services,SmallCap,NiftySmallcap250
BLUEJET.NS,Blue Jet Healthcare Ltd.,Healthcare,SmallCap,NiftySmallcap250
BBTC.NS,Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,SmallCap,NiftySmallcap250
FIRSTCRY.NS,Brainbees Solutions Ltd.,Consumer Services,SmallCap,NiftySmallcap250
BRIGADE.NS,Brigade Enterprises Ltd.,Realty,SmallCap,NiftySmallcap250
MAPMYINDIA.NS,C.E. Info Systems Ltd.,Information Technology,SmallCap,NiftySmallcap250
CCL.NS,CCL Products (I) Ltd.,Fast Moving Consumer Goods,SmallCap,NiftySmallcap250
CESC.NS,CESC Ltd.,Power,SmallCap,NiftySmallcap250
CIEINDIA.NS,CIE Automotive India Ltd.,Automobile and Auto Components,SmallCap,NiftySmallcap250
CANFINHOME.NS,Can Fin Homes Ltd.,Financial Services,SmallCap,NiftySmallcap250
CANHLIFE.NS,Canara HSBC Life Insurance Company Ltd.,Financial Services,SmallCap,NiftySmallcap250
CAPLIPOINT.NS,Caplin Point Laboratories Ltd.,Healthcare,SmallCap,NiftySmallcap250
CGCL.NS,Capri Global Capital Ltd.,Financial Services,SmallCap,NiftySmallcap250
CARBORUNIV.NS,Carborundum Universal Ltd.,Capital Goods,SmallCap,NiftySmallcap250
CARTRADE.NS,Cartrade Tech Ltd.,Consumer Services,SmallCap,NiftySmallcap250
CASTROLIND.NS,Castrol India Ltd.,Oil Gas & Consumable Fuels,SmallCap,NiftySmallcap250
CEATLTD.NS,Ceat Ltd.,Automobile and Auto Components,SmallCap,NiftySmallcap250
CEMPRO.NS,Cemindia Projects Ltd.,Construction,SmallCap,NiftySmallcap250
CENTRALBK.NS,Central Bank of India,Financial Services,SmallCap,NiftySmallcap250
CDSL.NS,Central Depository Services (India) Ltd.,Financial Services,SmallCap,NiftySmallcap250
CHALET.NS,Chalet Hotels Ltd.,Consumer Services,SmallCap,NiftySmallcap250
CHAMBLFERT.NS,Chambal Fertilizers & Chemicals Ltd.,Chemicals,SmallCap,NiftySmallcap250
CHENNPETRO.NS,Chennai Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,SmallCap,NiftySmallcap250
CHOICEIN.NS,Choice International Ltd.,Financial Services,SmallCap,NiftySmallcap250
CHOLAHLDNG.NS,Cholamandalam Financial Holdings Ltd.,Financial Services,SmallCap,NiftySmallcap250
CUB.NS,City Union Bank Ltd.,Financial Services,SmallCap,NiftySmallcap250
CLEAN.NS,Clean Science and Technology Ltd.,Chemicals,SmallCap,NiftySmallcap250
COHANCE.NS,Cohance Lifesciences Ltd.,Healthcare,SmallCap,NiftySmallcap250
CAMS.NS,Computer Age Management Services Ltd.,Financial Services,SmallCap,NiftySmallcap250
CONCORDBIO.NS,Concord Biotech Ltd.,Healthcare,SmallCap,NiftySmallcap250
CRAFTSMAN.NS,Craftsman Automation Ltd.,Automobile and Auto Components,SmallCap,NiftySmallcap250
CREDITACC.NS,CreditAccess Grameen Ltd.,Financial Services,SmallCap,NiftySmallcap250
CROMPTON.NS,Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,SmallCap,NiftySmallcap250
CYIENT.NS,Cyient Ltd.,Information Technology,SmallCap,NiftySmallcap250
DCMSHRIRAM.NS,DCM Shriram Ltd.,Diversified,SmallCap,NiftySmallcap250
DOMS.NS,DOMS Industries Ltd.,Fast Moving Consumer Goods,SmallCap,NiftySmallcap250
DATAPATTNS.NS,Data Patterns (India) Ltd.,Capital Goods,SmallCap,NiftySmallcap250
DEEPAKFERT.NS,Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,SmallCap,NiftySmallcap250
DEVYANI.NS,Devyani International Ltd.,Consumer Services,SmallCap,NiftySmallcap250
EIDPARRY.NS,E.I.D. Parry (India) Ltd.,Fast Moving Consumer Goods,SmallCap,NiftySmallcap250
EIHOTEL.NS,EIH Ltd.,Consumer Services,SmallCap,NiftySmallcap250
ELECON.NS,Elecon Engineering Co. Ltd.,Capital Goods,SmallCap,NiftySmallcap250
ELGIEQUIP.NS,Elgi Equipments Ltd.,Capital Goods,SmallCap,NiftySmallcap250
EMAMILTD.NS,Emami Ltd.,Fast Moving Consumer Goods,SmallCap,NiftySmallcap250
EMCURE.NS,Emcure Pharmaceuticals Ltd.,Healthcare,SmallCap,NiftySmallcap250
EMMVEE.NS,Emmvee Photovoltaic Power Ltd.,Capital Goods,SmallCap,NiftySmallcap250
ENGINERSIN.NS,Engineers India Ltd.,Construction,SmallCap,NiftySmallcap250
ERIS.NS,Eris Lifesciences Ltd.,Healthcare,SmallCap,NiftySmallcap250
FACT.NS,Fertilisers and Chemicals Travancore Ltd.,Chemicals,SmallCap,NiftySmallcap250
FINCABLES.NS,Finolex Cables Ltd.,Capital Goods,SmallCap,NiftySmallcap250
FSL.NS,Firstsource Solutions Ltd.,Services,SmallCap,NiftySmallcap250
FIVESTAR.NS,Five-Star Business Finance Ltd.,Financial Services,SmallCap,NiftySmallcap250
FORCEMOT.NS,Force Motors Ltd.,Automobile and Auto Components,SmallCap,NiftySmallcap250
GABRIEL.NS,Gabriel India Ltd.,Automobile and Auto Components,SmallCap,NiftySmallcap250
GALLANTT.NS,Gallantt Ispat Ltd.,Capital Goods,SmallCap,NiftySmallcap250
GRSE.NS,Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods,SmallCap,NiftySmallcap250
GILLETTE.NS,Gillette India Ltd.,Fast Moving Consumer Goods,SmallCap,NiftySmallcap250
GODIGIT.NS,Go Digit General Insurance Ltd.,Financial Services,SmallCap,NiftySmallcap250
GPIL.NS,Godawari Power & Ispat Ltd.,Capital Goods,SmallCap,NiftySmallcap250
GRANULES.NS,Granules India Ltd.,Healthcare,SmallCap,NiftySmallcap250
GRAPHITE.NS,Graphite India Ltd.,Capital Goods,SmallCap,NiftySmallcap250
GRAVITA.NS,Gravita India Ltd.,Metals & Mining,SmallCap,NiftySmallcap250
GESHIP.NS,Great Eastern Shipping Co. Ltd.,Services,SmallCap,NiftySmallcap250
GMDCLTD.NS,Gujarat Mineral Development Corporation Ltd.,Metals & Mining,SmallCap,NiftySmallcap250
HEG.NS,H.E.G. Ltd.,Capital Goods,SmallCap,NiftySmallcap250
HBLENGINE.NS,HBL Engineering Ltd.,Capital Goods,SmallCap,NiftySmallcap250
HFCL.NS,HFCL Ltd.,Telecommunication,SmallCap,NiftySmallcap250
HSCL.NS,Himadri Speciality Chemical Ltd.,Chemicals,SmallCap,NiftySmallcap250
HINDCOPPER.NS,Hindustan Copper Ltd.,Metals & Mining,SmallCap,NiftySmallcap250
HOMEFIRST.NS,Home First Finance Company India Ltd.,Financial Services,SmallCap,NiftySmallcap250
HONASA.NS,Honasa Consumer Ltd.,Fast Moving Consumer Goods,SmallCap,NiftySmallcap250
IDBI.NS,IDBI Bank Ltd.,Financial Services,SmallCap,NiftySmallcap250
IFCI.NS,IFCI Ltd.,Financial Services,SmallCap,NiftySmallcap250
IIFL.NS,IIFL Finance Ltd.,Financial Services,SmallCap,NiftySmallcap250
IRB.NS,IRB Infrastructure Developers Ltd.,Construction,SmallCap,NiftySmallcap250
IRCON.NS,IRCON International Ltd.,Construction,SmallCap,NiftySmallcap250
ITI.NS,ITI Ltd.,Telecommunication,SmallCap,NiftySmallcap250
INDGN.NS,Indegene Ltd.,Healthcare,SmallCap,NiftySmallcap250
INDIACEM.NS,India Cements Ltd.,Construction Materials,SmallCap,NiftySmallcap250
INDIAMART.NS,Indiamart Intermesh Ltd.,Consumer Services,SmallCap,NiftySmallcap250
IEX.NS,Indian Energy Exchange Ltd.,Financial Services,SmallCap,NiftySmallcap250
IOB.NS,Indian Overseas Bank,Financial Services,SmallCap,NiftySmallcap250
INOXWIND.NS,Inox Wind Ltd.,Capital Goods,SmallCap,NiftySmallcap250
INTELLECT.NS,Intellect Design Arena Ltd.,Information Technology,SmallCap,NiftySmallcap250
IGIL.NS,International Gemological Institute Ltd.,Services,SmallCap,NiftySmallcap250
IKS.NS,Inventurus Knowledge Solutions Ltd.,Information Technology,SmallCap,NiftySmallcap250
JBMA.NS,JBM Auto Ltd.,Automobile and Auto Components,SmallCap,NiftySmallcap250
JKTYRE.NS,JK Tyre & Industries Ltd.,Automobile and Auto Components,SmallCap,NiftySmallcap250
JMFINANCIL.NS,JM Financial Ltd.,Financial Services,SmallCap,NiftySmallcap250
JSWCEMENT.NS,JSW Cement Ltd.,Construction Materials,SmallCap,NiftySmallcap250
JSWDULUX.NS,JSW Dulux Ltd.,Consumer Durables,SmallCap,NiftySmallcap250
JAINREC.NS,Jain Resource Recycling Ltd.,Metals & Mining,SmallCap,NiftySmallcap250
JPPOWER.NS,Jaiprakash Power Ventures Ltd.,Power,SmallCap,NiftySmallcap250
J&KBANK.NS,Jammu & Kashmir Bank Ltd.,Financial Services,SmallCap,NiftySmallcap250
JINDALSAW.NS,Jindal Saw Ltd.,Capital Goods,SmallCap,NiftySmallcap250
JUBLINGREA.NS,Jubilant Ingrevia Ltd.,Chemicals,SmallCap,NiftySmallcap250
JUBLPHARMA.NS,Jubilant Pharmova Ltd.,Healthcare,SmallCap,NiftySmallcap250
JWL.NS,Jupiter Wagons Ltd.,Capital Goods,SmallCap,NiftySmallcap250
JYOTICNC.NS,Jyoti CNC Automation Ltd.,Capital Goods,SmallCap,NiftySmallcap250
KAJARIACER.NS,Kajaria Ceramics Ltd.,Consumer Durables,SmallCap,NiftySmallcap250
