Rank,Ticker,Sector,MarketCapCategory,P_Outperform,P_Neutral,P_Underperform,Predicted_Class,Company,Group,Data Date
40,BALKRISIND.NS,Automobile,MidCap,0.3095557032634354,0.35196861873502433,0.33847567800154027,0,Balkrishna Industries,DiversifiedMidcap,2026-08-14
41,ICICIGI.NS,Financial Services,LargeCap,0.308883463902636,0.38268724239978835,0.3084292936975784,0,ICICI Lombard General Insurance,NiftyNext50,2026-08-14
42,CANBK.NS,Financial Services,LargeCap,0.3078417359585913,0.3868752538065527,0.30528301023485527,0,Canara Bank,NiftyNext50,2026-08-14
43,GMRAIRPORT.NS,Infrastructure,MidCap,0.30722423237810037,0.3944300306269107,0.2983457369949875,0,GMR Airports,DiversifiedMidcap,2026-08-14
44,UPL.NS,Chemicals,LargeCap,0.305003121889317,0.3841700498152393,0.31082682829544633,0,UPL,Nifty50Additional,2026-08-14
45,HDFCBANK.NS,Financial Services,LargeCap,0.30375857647253546,0.42194927980763536,0.27429214371983235,0,HDFC Bank,Nifty50Additional,2026-08-14
46,ZYDUSLIFE.NS,Healthcare,LargeCap,0.3025621463583053,0.38268513117258973,0.31475272246910446,0,Zydus Lifesciences,NiftyNext50,2026-08-14
47,MAXHEALTH.NS,Healthcare,LargeCap,0.30149465408834214,0.38012261260942004,0.31838273330223976,0,Max Healthcare Institute,NiftyNext50,2026-08-14
48,INFY.NS,Information Technology,LargeCap,0.30098406683099244,0.36111101320664296,0.3379049199623642,0,Infosys,Nifty50Additional,2026-08-14
49,RECLTD.NS,Financial Services,LargeCap,0.3007436875956596,0.3883380328664853,0.31091827953785856,0,REC,NiftyNext50,2026-08-14
50,AUBANK.NS,Financial Services,MidCap,0.2987662079924178,0.37090359727136235,0.330330194736222,0,AU Small Finance Bank,DiversifiedMidcap,2026-08-14
51,BANKBARODA.NS,Financial Services,LargeCap,0.29871822268386544,0.3954979233351042,0.30578385398103286,0,Bank of Baroda,NiftyNext50,2026-08-14
52,BIOCON.NS,Healthcare,MidCap,0.29847721334469607,0.4000758237883964,0.30144696286690686,0,Biocon,DiversifiedMidcap,2026-08-14
53,DLF.NS,Real Estate,LargeCap,0.2984399131260749,0.3782218378654449,0.3233382490084824,0,DLF,NiftyNext50,2026-08-14
54,HDFCAMC.NS,Financial Services,MidCap,0.29774182068520255,0.4017392828265988,0.3005188964882017,0,HDFC Asset Management Company,DiversifiedMidcap,2026-08-14
55,TCS.NS,Information Technology,LargeCap,0.2975030066272609,0.35540803577715696,0.347088957595583,0,Tata Consultancy Services,Existing10,2026-08-14
56,GAIL.NS,Energy,LargeCap,0.29685879826269085,0.3812540563737834,0.3218871453635266,0,GAIL India,NiftyNext50,2026-08-14
57,GODREJPROP.NS,Real Estate,MidCap,0.2963341259070765,0.37453410943624343,0.32913176465668287,0,Godrej Properties,DiversifiedMidcap,2026-08-14
58,COLPAL.NS,Consumer Goods,MidCap,0.2952368229459231,0.3983448150555196,0.30641836199855904,0,Colgate Palmolive India,DiversifiedMidcap,2026-08-14
59,FORTIS.NS,Healthcare,MidCap,0.2938519961989372,0.40390991461547227,0.3022380891855902,0,Fortis Healthcare,DiversifiedMidcap,2026-08-14
60,IGL.NS,Energy,MidCap,0.29355828599610084,0.37493158708251484,0.33151012692138493,0,Indraprastha Gas,DiversifiedMidcap,2026-08-14
61,HDFCLIFE.NS,Financial Services,LargeCap,0.2934330495479616,0.421096640041555,0.2854703104104857,0,HDFC Life Insurance,Nifty50Additional,2026-08-14
62,ADANIPORTS.NS,Infrastructure,LargeCap,0.29318807717776757,0.411876553227964,0.2949353695942684,0,Adani Ports and SEZ,Nifty50Additional,2026-08-14
63,JSWENERGY.NS,Power,LargeCap,0.29248116193645535,0.3876127298003576,0.31990610826318583,0,JSW Energy,NiftyNext50,2026-08-14
64,TATACONSUM.NS,Consumer Goods,LargeCap,0.2920097060401054,0.41547635751292145,0.2925139364469739,0,Tata Consumer Products,Nifty50Additional,2026-08-14
65,BDL.NS,Capital Goods,MidCap,0.2906909964343721,0.3677144090935823,0.3415945944720487,0,Bharat Dynamics,DiversifiedMidcap,2026-08-14
66,AMBUJACEM.NS,Cement,LargeCap,0.2906251195217727,0.3986328242321906,0.3107420562460397,0,Ambuja Cements,NiftyNext50,2026-08-14
67,ACC.NS,Cement,MidCap,0.29032979403826575,0.4181127537582714,0.2915574522034653,0,ACC,DiversifiedMidcap,2026-08-14
68,IOC.NS,Energy,LargeCap,0.28955682692524404,0.3822210530837275,0.3282221199910282,0,Indian Oil Corporation,Nifty50Additional,2026-08-14
69,ICICIPRULI.NS,Financial Services,LargeCap,0.28948933308190017,0.3885210930118056,0.3219895739062963,0,ICICI Prudential Life Insurance,NiftyNext50,2026-08-14
70,MFSL.NS,Financial Services,MidCap,0.2894612595428224,0.4106450267885974,0.2998937136685817,0,Max Financial Services,DiversifiedMidcap,2026-08-14
71,DRREDDY.NS,Healthcare,LargeCap,0.28939666820155163,0.40888040242214374,0.30172292937630524,0,Dr. Reddy's Laboratories,Nifty50Additional,2026-08-14
72,LUPIN.NS,Healthcare,MidCap,0.2892693224163863,0.4080079785966258,0.30272269898698795,0,Lupin,DiversifiedMidcap,2026-08-14
73,MANKIND.NS,Healthcare,LargeCap,0.2889205681722022,0.3812797939819614,0.329799637845836,0,Mankind Pharma,NiftyNext50,2026-08-14
74,DABUR.NS,Consumer Goods,LargeCap,0.28874663918234345,0.4002785596279112,0.310974801189746,0,Dabur India,NiftyNext50,2026-08-14
75,BAJAJFINSV.NS,Financial Services,LargeCap,0.2879358080815176,0.3877852328554536,0.3242789590630309,0,Bajaj Finserv,Nifty50Additional,2026-08-14
